gene_id,event_id,sample_id,PSI
WBGene00012471,SE_1012,ADL,0.3098996442902833
WBGene00012471,SE_1012,AFD,0.2017639666319207
WBGene00012471,SE_1012,AIM,0.33635608617347523
WBGene00012471,SE_1012,AIN,0.23868187183087008
WBGene00012471,SE_1012,AIY,0.16486562580908112
WBGene00012471,SE_1012,ASEL,0.17721577568764638
WBGene00012471,SE_1012,ASER,0.16341779052744712
WBGene00012471,SE_1012,ASG,0.19736112889302443
WBGene00012471,SE_1012,ASI,0.2866043378735823
WBGene00012471,SE_1012,ASK,0.16206845095067784
WBGene00012471,SE_1012,AVA,0.368000012370533
WBGene00012471,SE_1012,AVE,0.2515958333925495
WBGene00012471,SE_1012,AVG,0.19983050894784307
WBGene00012471,SE_1012,AVH,0.43234276635227575
WBGene00012471,SE_1012,AVK,0.419745417296088
WBGene00012471,SE_1012,AVL,0.5366872530325061
WBGene00012471,SE_1012,AVM,0.3086074894247558
WBGene00012471,SE_1012,AWA,0.2538071296163252
WBGene00012471,SE_1012,AWB,0.3213811948129667
WBGene00012471,SE_1012,AWC,0.465045320818468
WBGene00012471,SE_1012,BAG,0.25978646118245075
WBGene00012471,SE_1012,CAN,0.42944164458168493
WBGene00012471,SE_1012,DA,0.23383655761991465
WBGene00012471,SE_1012,DD,0.18636029139818916
WBGene00012471,SE_1012,DVC,0.33962119778891475
WBGene00012471,SE_1012,I5,0.4241433669718363
WBGene00012471,SE_1012,IL1,0.3635825300767312
WBGene00012471,SE_1012,IL2,0.29729404193537384
WBGene00012471,SE_1012,LUA,0.38897693388498994
WBGene00012471,SE_1012,NSM,0.41108499107543567
WBGene00012471,SE_1012,OLL,0.42081776888847805
WBGene00012471,SE_1012,OLQ,0.45593224683053807
WBGene00012471,SE_1012,PHA,0.41399741429036124
WBGene00012471,SE_1012,PVC,0.37846820641109613
WBGene00012471,SE_1012,PVD,0.3048243898623279
WBGene00012471,SE_1012,PVM,0.2733674287240945
WBGene00012471,SE_1012,RIA,0.4135630554712298
WBGene00012471,SE_1012,RIC,0.268360439449522
WBGene00012471,SE_1012,RIM,0.4226335624083319
WBGene00012471,SE_1012,RIS,0.266046115887751
WBGene00012471,SE_1012,RMD,0.336991179815061
WBGene00012471,SE_1012,SMB,0.2889575355241738
WBGene00012471,SE_1012,SMD,0.21626519951469597
WBGene00012471,SE_1012,VB,0.23380013230674468
WBGene00012471,SE_1012,VC,0.37003701032899666
WBGene00012471,SE_1012,VD,0.3159800462786516
WBGene00021191,SE_1045,AIY,0.0388198757763975
WBGene00021191,SE_1045,ASER,0.04803073967339097
WBGene00021191,SE_1045,ASG,0.0504032258064516
WBGene00021191,SE_1045,AVA,0.3198613861511329
WBGene00021191,SE_1045,AVE,0.6666666666666666
WBGene00021191,SE_1045,AVG,0.01869857890800295
WBGene00021191,SE_1045,AVH,0.1663573442117266
WBGene00021191,SE_1045,AVL,0.2012072434607646
WBGene00021191,SE_1045,AVM,0.019228920296125367
WBGene00021191,SE_1045,AWA,0.28849070743379096
WBGene00021191,SE_1045,BAG,0.0280269058295964
WBGene00021191,SE_1045,CAN,0.12436764978234743
WBGene00021191,SE_1045,DA,0.032673745978295275
WBGene00021191,SE_1045,I5,0.13161177880858282
WBGene00021191,SE_1045,IL2,0.4269044473800088
WBGene00021191,SE_1045,NSM,0.14279468649387342
WBGene00021191,SE_1045,PHA,0.15300965133295497
WBGene00021191,SE_1045,PVC,0.17308053185791736
WBGene00021191,SE_1045,PVD,0.0
WBGene00021191,SE_1045,RIA,0.19441349545819583
WBGene00021191,SE_1045,RIM,0.3258113946527411
WBGene00021191,SE_1045,RMD,0.11960532805971646
WBGene00021191,SE_1045,SMB,0.235773033057675
WBGene00021191,SE_1045,SMD,0.10668486836040242
WBGene00021191,SE_1045,VB,0.11602269006941984
WBGene00021191,SE_1045,VC,0.029757987519142253
WBGene00021191,SE_1045,VD,0.16285501851632217
WBGene00017838,SE_1051,ASK,0.11397476876089463
WBGene00019270,SE_1063,ADL,0.8842911976119711
WBGene00019270,SE_1063,ASG,1.0
WBGene00019270,SE_1063,AWB,0.8553198241800093
WBGene00019270,SE_1063,PVD,1.0
WBGene00004702,SE_1066,ADL,0.2470864704652352
WBGene00004702,SE_1066,AIM,0.19944218284381365
WBGene00004702,SE_1066,AIN,0.3029123404403549
WBGene00004702,SE_1066,AIY,0.1063367130974266
WBGene00004702,SE_1066,ASEL,0.10037353822965696
WBGene00004702,SE_1066,ASER,0.18747993028878254
WBGene00004702,SE_1066,ASG,0.2978203255818053
WBGene00004702,SE_1066,ASI,0.13947694120724602
WBGene00004702,SE_1066,ASK,0.24244555412250174
WBGene00004702,SE_1066,AVA,0.11601358736490919
WBGene00004702,SE_1066,AVE,0.13861399365785756
WBGene00004702,SE_1066,AVG,0.15396036638266605
WBGene00004702,SE_1066,AVH,0.1238638493912803
WBGene00004702,SE_1066,AVK,0.1668967473392986
WBGene00004702,SE_1066,AVL,0.5488042322183039
WBGene00004702,SE_1066,AVM,0.07240727083055357
WBGene00004702,SE_1066,AWA,0.1907408581908269
WBGene00004702,SE_1066,AWB,0.4111830997674584
WBGene00004702,SE_1066,AWC,0.09425093782395087
WBGene00004702,SE_1066,BAG,0.18037718221103247
WBGene00004702,SE_1066,CAN,0.0795855048338234
WBGene00004702,SE_1066,DA,0.11768782639354
WBGene00004702,SE_1066,DD,0.14380290034815046
WBGene00004702,SE_1066,DVC,0.21018459629712058
WBGene00004702,SE_1066,I5,0.11260922607728081
WBGene00004702,SE_1066,IL2,0.21598017238142167
WBGene00004702,SE_1066,LUA,0.11179401469591704
WBGene00004702,SE_1066,NSM,0.17351570697067623
WBGene00004702,SE_1066,OLL,0.08188886321113614
WBGene00004702,SE_1066,OLQ,0.1152252368040913
WBGene00004702,SE_1066,PHA,0.17506645522609657
WBGene00004702,SE_1066,PVC,0.1147268771394572
WBGene00004702,SE_1066,PVD,0.6518602885345481
WBGene00004702,SE_1066,RIA,0.09402204282342659
WBGene00004702,SE_1066,RIC,0.07733715420846912
WBGene00004702,SE_1066,RIM,0.11950145802322862
WBGene00004702,SE_1066,RMD,0.1512294626251666
WBGene00004702,SE_1066,SMB,0.29600570752773897
WBGene00004702,SE_1066,SMD,0.19392259379894516
WBGene00004702,SE_1066,VB,0.10056473039153935
WBGene00004702,SE_1066,VC,0.11423247258917257
WBGene00004702,SE_1066,VD,0.11653378879135427
WBGene00016624,SE_1068,NSM,1.0
WBGene00016624,SE_1068,VB,1.0
WBGene00000459,SE_1069,ADL,0.15721439595035894
WBGene00000459,SE_1069,AFD,0.18817967903972097
WBGene00000459,SE_1069,AIM,0.1296230503708274
WBGene00000459,SE_1069,AIN,0.19900291624433125
WBGene00000459,SE_1069,AIY,0.5
WBGene00000459,SE_1069,ASEL,0.17482517482517484
WBGene00000459,SE_1069,ASER,0.22386227156919572
WBGene00000459,SE_1069,ASG,0.4245311405851524
WBGene00000459,SE_1069,ASI,0.40816762882189433
WBGene00000459,SE_1069,ASK,0.6615061829126977
WBGene00000459,SE_1069,AVA,0.2699300699300699
WBGene00000459,SE_1069,AVE,0.14891257609704214
WBGene00000459,SE_1069,AVG,0.4155616306145697
WBGene00000459,SE_1069,AVH,0.30066579008256256
WBGene00000459,SE_1069,AVK,0.2586926732642654
WBGene00000459,SE_1069,AVL,0.46887285866261846
WBGene00000459,SE_1069,AVM,0.3320014487716318
WBGene00000459,SE_1069,AWA,0.2863136357584093
WBGene00000459,SE_1069,AWB,0.43935037980186237
WBGene00000459,SE_1069,AWC,0.31254240756885193
WBGene00000459,SE_1069,BAG,0.6254065083852318
WBGene00000459,SE_1069,CAN,0.43358395989974935
WBGene00000459,SE_1069,DA,0.41297981481341617
WBGene00000459,SE_1069,DD,0.17126252768041778
WBGene00000459,SE_1069,DVC,0.3756529366314658
WBGene00000459,SE_1069,I5,0.34933367971680385
WBGene00000459,SE_1069,IL2,0.20103532746984804
WBGene00000459,SE_1069,LUA,0.3602533340690647
WBGene00000459,SE_1069,NSM,0.23801479179405904
WBGene00000459,SE_1069,OLL,0.18000362792987729
WBGene00000459,SE_1069,OLQ,0.37901405505552993
WBGene00000459,SE_1069,PHA,0.21463165092079048
WBGene00000459,SE_1069,PVC,0.35332958860515473
WBGene00000459,SE_1069,PVD,0.341296928327645
WBGene00000459,SE_1069,PVM,0.649938903636287
WBGene00000459,SE_1069,RIA,0.33733021942263014
WBGene00000459,SE_1069,RIC,0.22385373552013094
WBGene00000459,SE_1069,RIM,0.351260856334859
WBGene00000459,SE_1069,RIS,0.39503386004514673
WBGene00000459,SE_1069,RMD,0.4527936536937675
WBGene00000459,SE_1069,SMB,0.3796463397038621
WBGene00000459,SE_1069,SMD,0.17362272571991752
WBGene00000459,SE_1069,VB,0.7129629629629629
WBGene00000459,SE_1069,VC,0.1618219481035173
WBGene00000459,SE_1069,VD,0.26648482743730967
WBGene00016173,SE_1072,ADL,0.8628685220815648
WBGene00016173,SE_1072,AFD,0.8545497585037601
WBGene00016173,SE_1072,AIM,0.7002036607158488
WBGene00016173,SE_1072,AIN,0.8679013040508896
WBGene00016173,SE_1072,AIY,0.6048767697954903
WBGene00016173,SE_1072,ASEL,0.9445322507706874
WBGene00016173,SE_1072,ASER,0.8824734233620266
WBGene00016173,SE_1072,ASG,0.8222621160289305
WBGene00016173,SE_1072,ASI,0.8410353037446371
WBGene00016173,SE_1072,ASK,0.8641147569804644
WBGene00016173,SE_1072,AVA,0.7779661993227309
WBGene00016173,SE_1072,AVE,0.6935436671832718
WBGene00016173,SE_1072,AVG,0.780144439973772
WBGene00016173,SE_1072,AVH,0.8406631500147389
WBGene00016173,SE_1072,AVK,0.9204112636588409
WBGene00016173,SE_1072,AVL,0.9183721819750361
WBGene00016173,SE_1072,AVM,0.6905761806336349
WBGene00016173,SE_1072,AWA,0.7102319365520704
WBGene00016173,SE_1072,AWB,0.8418293878917866
WBGene00016173,SE_1072,AWC,0.7740559497696315
WBGene00016173,SE_1072,BAG,0.8456015642419688
WBGene00016173,SE_1072,CAN,0.7265782529215835
WBGene00016173,SE_1072,DA,0.7320437287075607
WBGene00016173,SE_1072,DD,0.7383394586413251
WBGene00016173,SE_1072,DVC,0.8192050972666529
WBGene00016173,SE_1072,I5,0.7138863681299199
WBGene00016173,SE_1072,IL1,0.7651325666784815
WBGene00016173,SE_1072,IL2,0.5849059282629885
WBGene00016173,SE_1072,LUA,0.6266290949459873
WBGene00016173,SE_1072,NSM,0.6076955938770244
WBGene00016173,SE_1072,OLQ,0.7139335528699737
WBGene00016173,SE_1072,PHA,0.7063510456402368
WBGene00016173,SE_1072,PVC,0.7019307934907175
WBGene00016173,SE_1072,PVD,0.6399853329621306
WBGene00016173,SE_1072,PVM,0.829350994304162
WBGene00016173,SE_1072,RIA,0.8770500498808821
WBGene00016173,SE_1072,RIC,0.8983141528597798
WBGene00016173,SE_1072,RIM,0.80289175707554
WBGene00016173,SE_1072,RIS,0.5938455164304357
WBGene00016173,SE_1072,RMD,0.7848330134712976
WBGene00016173,SE_1072,SMB,0.7473051698088636
WBGene00016173,SE_1072,SMD,0.6938081416842621
WBGene00016173,SE_1072,VB,0.9440359477124183
WBGene00016173,SE_1072,VC,0.9405631793357091
WBGene00016173,SE_1072,VD,0.7112503625282055
WBGene00003012,SE_1074,CAN,0.5061277496631867
WBGene00005039,SE_1075,ASI,1.0
WBGene00010681,SE_1077,ADL,0.35675241731285434
WBGene00010681,SE_1077,AFD,0.5593783165939878
WBGene00010681,SE_1077,AIM,0.6870024690411023
WBGene00010681,SE_1077,AIN,0.540292209685857
WBGene00010681,SE_1077,AIY,0.4777470880622743
WBGene00010681,SE_1077,ASEL,0.38115199485246243
WBGene00010681,SE_1077,ASER,0.3774737601888383
WBGene00010681,SE_1077,ASG,0.44920623622779143
WBGene00010681,SE_1077,ASI,0.47348396217990435
WBGene00010681,SE_1077,ASK,0.6075828739283045
WBGene00010681,SE_1077,AVA,0.4482159240474927
WBGene00010681,SE_1077,AVE,0.43350875270952827
WBGene00010681,SE_1077,AVG,0.5823201316159062
WBGene00010681,SE_1077,AVH,0.48418080846094264
WBGene00010681,SE_1077,AVK,0.5197050628982474
WBGene00010681,SE_1077,AVL,0.7996571007788934
WBGene00010681,SE_1077,AVM,0.49149013325264623
WBGene00010681,SE_1077,AWA,0.3841758576036961
WBGene00010681,SE_1077,AWB,0.5802459844059863
WBGene00010681,SE_1077,AWC,0.4668817145303168
WBGene00010681,SE_1077,BAG,0.36336539623553576
WBGene00010681,SE_1077,DA,0.5848217324233447
WBGene00010681,SE_1077,DD,0.5181501112994661
WBGene00010681,SE_1077,DVC,0.6129131909566786
WBGene00010681,SE_1077,I5,0.6213945922710271
WBGene00010681,SE_1077,IL2,0.3019395085429952
WBGene00010681,SE_1077,NSM,0.4869943860070238
WBGene00010681,SE_1077,OLQ,0.6538982649767071
WBGene00010681,SE_1077,PHA,0.5586972730010024
WBGene00010681,SE_1077,PVD,0.5334972528306469
WBGene00010681,SE_1077,RIA,0.43360626138032815
WBGene00010681,SE_1077,RIC,0.6354101712761127
WBGene00010681,SE_1077,RIM,0.725924486121161
WBGene00010681,SE_1077,RIS,0.4243404601443046
WBGene00010681,SE_1077,RMD,0.5688590245751659
WBGene00010681,SE_1077,SMB,0.4778461796156866
WBGene00010681,SE_1077,SMD,0.4355707265678867
WBGene00010681,SE_1077,VB,0.48152166486422876
WBGene00010681,SE_1077,VC,0.5043539846935093
WBGene00010681,SE_1077,VD,0.6733639239363789
WBGene00010682,SE_1078,NSM,0.0
WBGene00014248,SE_1087,PVC,0.21405199414875917
WBGene00014248,SE_1087,RIA,0.4862068965517241
WBGene00014248,SE_1087,RIS,0.5174094707520891
WBGene00014248,SE_1087,SMD,0.40861242985906976
WBGene00007353,SE_1093,AIM,0.11947028933726042
WBGene00007353,SE_1093,AVA,0.3574860674268238
WBGene00007353,SE_1093,AVE,0.21812024390606222
WBGene00007353,SE_1093,AVG,0.4534592566957258
WBGene00007353,SE_1093,AVH,0.1776218376052133
WBGene00007353,SE_1093,AVK,0.2043004025094844
WBGene00007353,SE_1093,AVL,0.31855521179716245
WBGene00007353,SE_1093,AVM,0.05636599443072343
WBGene00007353,SE_1093,DA,0.1031517292350591
WBGene00007353,SE_1093,DD,0.031236492032846626
WBGene00007353,SE_1093,DVC,0.5434715722318
WBGene00007353,SE_1093,I5,0.1283868780365375
WBGene00007353,SE_1093,IL2,0.1605129936475609
WBGene00007353,SE_1093,LUA,0.18730872133926096
WBGene00007353,SE_1093,PVD,0.0202757502027575
WBGene00007353,SE_1093,PVM,0.13497461573929154
WBGene00007353,SE_1093,RIM,0.11966206802052723
WBGene00007353,SE_1093,RIS,0.0311332503113325
WBGene00007353,SE_1093,RMD,0.30379416437697404
WBGene00007353,SE_1093,SMB,0.06127587527798326
WBGene00007353,SE_1093,SMD,0.06687710150877622
WBGene00007353,SE_1093,VB,0.14882704852498532
WBGene00007353,SE_1093,VD,0.10322050480150505
WBGene00004704,SE_1095,ADL,0.136105096244971
